 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
1,228,122.938599,32,395,293,123.112625,49,346,293,128.109222,31,425,428,139.009338,42,445
2,228,122.535088,33,414,293,125.569969,54,329,293,127.825935,35,448,428,139.219620,38,402
3,228,122.750000,33,381,293,124.174065,49,367,293,129.600677,34,471,428,139.039719,39,418
4,228,124.206139,36,395,293,123.832764,58,336,293,128.709900,35,457,428,138.878510,39,390
5,228,123.232452,35,382,293,124.747437,48,323,293,128.464157,36,439,428,140.161209,41,404
6,228,123.855263,31,376,293,125.324234,51,350,293,129.546082,33,398,428,139.516357,37,406
7,228,122.342102,32,368,293,125.610924,42,319,293,127.679184,34,425,428,138.684586,37,394
8,228,122.442986,31,376,293,123.337883,52,322,293,128.204773,30,402,428,140.156540,43,386
9,228,121.684212,33,396,293,124.955635,46,349,293,128.116043,36,429,428,138.630844,42,406
10,228,123.188599,37,371,293,123.798637,48,316,293,127.293518,34,419,428,138.633179,44,395
11,228,121.627190,34,377,293,125.290100,45,354,293,128.436859,34,409,428,139.112152,41,381
12,228,123.517548,35,374,293,125.058022,41,377,293,126.034126,34,408,428,140.037384,39,401
13,228,122.609650,35,394,293,124.139931,47,345,293,129.621155,35,426,428,139.820099,43,395
14,228,123.609650,35,349,293,124.720139,46,333,293,128.491470,33,432,428,139.411209,43,373
15,228,122.285088,36,400,293,124.122864,49,339,293,127.812286,32,422,428,138.495331,37,384
16,228,122.065788,34,372,293,124.232079,47,336,293,128.723557,34,401,428,137.607483,43,379
17,228,121.885963,33,375,293,122.986351,51,359,293,127.331055,34,435,428,139.401871,38,402
18,228,120.855263,35,367,293,124.044365,41,334,293,128.020477,31,408,428,138.011688,41,387
19,228,121.407898,33,383,293,124.064850,53,336,293,126.235497,35,424,428,139.271027,41,404
20,228,121.903511,34,385,293,124.829353,50,360,293,126.467575,34,415,428,139.542053,43,411
21,228,119.903511,33,364,293,123.552902,49,331,293,126.436859,32,409,428,139.261688,45,404
22,228,120.706139,33,353,293,125.122864,51,343,293,126.662117,35,423,428,140.306076,43,399
23,228,121.035088,33,367,293,124.201363,44,354,293,126.296928,33,427,428,139.401871,41,412
24,228,122.175438,33,404,293,124.037544,53,348,293,127.085327,31,392,428,140.572433,42,414
25,228,122.206139,38,364,293,125.525597,48,339,293,126.498291,33,388,428,139.495331,36,420
26,228,121.364037,32,353,293,123.447098,52,345,293,124.781570,32,404,428,139.464951,36,417
27,228,121.885963,31,377,293,125.228668,52,324,293,126.450516,33,427,428,139.623825,39,407
28,228,121.315788,35,416,293,123.474403,49,344,293,126.160408,33,399,428,139.918228,43,405
29,228,120.030701,33,396,293,123.627983,50,332,293,126.689423,33,414,428,139.266357,43,408
30,228,121.166664,31,381,293,124.204781,44,344,293,128.119461,37,393,428,140.221970,36,414
31,228,119.741226,32,369,293,123.559731,51,328,293,127.795219,35,443,428,138.345795,41,386
32,228,120.596489,33,374,293,122.863480,48,302,293,125.621162,35,402,428,139.495331,44,417
33,228,120.947365,33,376,293,124.392494,49,316,293,126.044365,34,364,428,138.922897,43,383
34,228,121.043861,38,368,293,124.180885,47,342,293,125.324234,34,403,428,139.259338,42,419
35,228,121.929825,33,381,293,124.542664,50,327,293,125.887375,37,415,428,139.411209,40,379
36,228,121.973686,37,383,293,123.754265,54,353,293,126.320816,34,421,428,138.873825,43,368
37,228,121.280701,33,378,293,124.706482,51,380,293,126.518768,31,395,428,139.434586,40,387
38,228,121.184212,33,354,293,125.081909,51,320,293,126.423210,35,396,428,139.301407,41,383
39,228,121.622810,33,385,293,124.720139,50,333,293,126.402733,34,399,428,138.848129,32,391
40,228,121.750000,33,350,293,124.723549,48,311,293,126.600685,36,441,428,138.581772,45,389
41,228,121.679825,31,389,293,124.368599,49,364,293,125.846413,33,384,428,138.768692,46,394
42,228,121.381577,32,361,293,126.249146,49,307,293,126.133102,35,415,428,138.906540,43,371
43,228,122.280701,35,370,293,125.109215,51,353,293,126.617744,34,417,428,138.123825,40,372
44,228,121.543861,37,365,293,124.580208,50,330,293,127.880547,35,398,428,139.025696,41,390
45,228,121.649124,36,354,293,124.273041,52,323,293,127.409554,34,383,428,137.852798,43,381
46,228,120.438599,35,374,293,124.341293,45,342,293,126.795219,37,420,428,139.649536,39,384
47,228,120.592102,34,356,293,125.317406,51,364,293,125.566551,33,392,428,138.507004,42,379
48,228,122.640350,33,388,293,124.754265,44,358,293,127.334473,34,410,428,137.780380,38,386
49,228,123.153511,33,401,293,124.433449,47,380,293,126.696243,35,379,428,138.063080,41,398
50,228,122.675438,34,430,293,124.358360,52,340,293,124.843002,35,385,428,139.184586,44,383
51,228,122.710526,32,419,293,124.030716,51,328,293,126.539246,33,384,428,139.352798,40,406
52,228,122.570175,35,439,293,124.249146,52,336,293,126.170647,33,352,428,138.969620,44,390
53,228,124.232452,34,403,293,123.242317,51,336,293,125.945389,35,361,428,138.677567,41,390
54,228,125.447365,33,469,293,123.221840,50,302,293,126.901024,33,415,428,139.247665,39,383
55,228,124.078949,34,439,293,123.269623,53,338,293,126.259384,34,397,428,139.892517,43,399
56,228,122.030701,37,452,293,124.255974,53,331,293,127.095566,32,389,428,139.242996,43,427
57,228,124.328949,37,441,293,124.665527,48,324,293,126.740616,36,365,428,139.387848,39,413
58,228,123.679825,31,436,293,124.382256,53,335,293,126.614334,36,359,428,138.796722,42,413
59,228,122.842102,33,406,293,124.296928,56,320,293,125.914673,36,373,428,138.735977,41,399
60,228,123.592102,36,417,293,122.662117,52,359,293,127.238907,36,401,428,139.359818,46,416
61,228,123.429825,35,402,293,124.819115,48,329,293,128.136520,35,360,428,138.728973,43,418
62,228,122.635963,34,389,293,124.573380,57,329,293,127.552902,34,379,428,139.549072,41,402
63,228,122.337723,32,384,293,123.552902,50,363,293,128.846420,35,391,428,138.616821,44,394
64,228,124.070175,36,368,293,123.583618,44,325,293,128.313995,32,378,428,138.334106,39,389
65,228,121.758774,34,411,293,124.747437,49,340,293,129.232086,36,398,428,138.876175,41,412
