 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4,Area5,Mean5,Min5,Max5
1,33152,19.859073639,14,35,5056,27.949367523,16,49,9856,25.941558838,15,58,16384,31.957031250,14,152,41664,30.508447647,16,187
2,33152,19.949806213,13,38,5056,27.582279205,16,52,9856,25.857143402,16,60,16384,32.031250000,14,161,41664,30.643625259,15,190
3,33152,20.129343033,14,35,5056,27.075948715,16,52,9856,25.448051453,16,58,16384,32.089843750,13,160,41664,30.565284729,15,177
4,33152,19.947875977,13,38,5056,27.202531815,17,49,9856,25.629869461,15,62,16384,31.886718750,14,150,41664,30.520736694,16,182
5,33152,20.073358536,13,37,5056,27.835443497,17,53,9856,25.629869461,15,60,16384,31.992187500,15,156,41664,30.479263306,15,174
6,33152,20.042470932,14,41,5056,27.620252609,15,54,9856,25.233766556,15,57,16384,32.046875000,13,159,41664,30.763441086,16,178
7,33152,19.907335281,13,39,5056,27.822784424,17,62,9856,25.714284897,16,69,16384,32.265625000,14,156,41664,30.339477539,16,185
8,33152,19.963319778,14,40,5056,27.392404556,18,56,9856,25.902597427,16,60,16384,32.250000000,15,161,41664,30.600614548,15,188
9,33152,19.998069763,12,41,5056,26.974683762,16,47,9856,25.525974274,16,56,16384,32.253906250,16,158,41664,30.516128540,15,178
10,33152,20.030887604,14,42,5056,27.329113007,16,59,9856,25.792207718,15,61,16384,32.117187500,15,161,41664,30.327188492,14,188
11,33152,19.886100769,14,40,5056,27.291139603,17,48,9856,25.519479752,16,54,16384,32.277343750,15,156,41664,30.654376984,15,176
12,33152,20.075288773,14,45,5056,27.708860397,17,64,9856,25.779220581,15,65,16384,32.296875000,13,150,41664,30.557603836,14,178
13,33152,19.924711227,13,37,5056,27.075948715,17,44,9856,25.603895187,17,63,16384,32.585937500,15,150,41664,30.430107117,15,182
14,33152,20.036680222,13,38,5056,27.278480530,18,53,9856,25.883117676,16,60,16384,33.160156250,13,156,41664,30.506912231,15,178
15,33152,19.909265518,13,38,5056,27.177215576,16,58,9856,25.506492615,14,58,16384,32.894531250,15,156,41664,30.388633728,16,185
16,33152,20.003860474,13,35,5056,27.316455841,16,57,9856,25.974025726,15,63,16384,32.878906250,13,149,41664,30.491552353,15,187
17,33152,19.971042633,14,39,5056,27.582279205,15,61,9856,25.532466888,16,61,16384,33.273437500,15,158,41664,30.708141327,14,189
18,33152,20.034749985,14,39,5056,27.367088318,16,57,9856,25.538961411,16,64,16384,32.925781250,16,166,41664,30.526882172,15,181
19,33152,19.998069763,14,40,5056,27.873416901,16,57,9856,25.487012863,16,61,16384,32.894531250,13,159,41664,30.365591049,15,189
20,33152,19.905405045,12,45,5056,27.645568848,16,58,9856,25.461038589,15,56,16384,32.480468750,14,168,41664,30.588325500,16,180
21,33152,19.916988373,13,45,5056,26.721519470,16,58,9856,25.467533112,15,63,16384,32.503906250,15,159,41664,30.331796646,15,177
22,33152,19.971042633,13,35,5056,27.240507126,18,54,9856,25.720779419,15,60,16384,32.652343750,15,155,41664,30.577573776,15,183
23,33152,20.027027130,14,39,5056,27.063291550,16,60,9856,25.512987137,14,64,16384,32.546875000,13,158,41664,30.380952835,14,183
24,33152,19.996139526,13,38,5056,27.620252609,17,56,9856,25.584415436,15,63,16384,32.589843750,16,153,41664,30.313364029,15,181
25,33152,19.972972870,13,35,5056,27.594936371,17,56,9856,25.681818008,16,61,16384,32.085937500,13,155,41664,30.488479614,16,186
26,33152,19.862934113,13,38,5056,27.898735046,18,55,9856,25.935064316,15,67,16384,32.300781250,15,147,41664,30.514593124,15,186
27,33152,19.818532944,14,38,5056,27.177215576,17,59,9856,25.967533112,16,60,16384,32.261718750,14,156,41664,30.520736694,14,183
28,33152,19.916988373,14,36,5056,27.784811020,18,54,9856,25.961038589,16,64,16384,32.187500000,14,159,41664,30.414747238,15,177
29,33152,20.027027130,13,40,5056,27.063291550,17,56,9856,25.772727966,17,59,16384,32.382812500,15,151,41664,30.445468903,14,177
30,33152,20.003860474,13,44,5056,27.759492874,17,53,9856,26.000000000,14,55,16384,32.406250000,15,154,41664,30.500768661,16,175
31,33152,19.878377914,13,41,5056,27.544303894,16,55,9856,25.922077179,16,58,16384,32.332031250,15,156,41664,30.155145645,15,185
32,33152,19.824323654,13,39,5056,27.367088318,16,59,9856,25.474025726,16,60,16384,32.324218750,14,157,41664,30.450077057,14,187
33,33152,19.868726730,13,42,5056,27.151899338,17,55,9856,25.396104813,14,56,16384,32.066406250,15,156,41664,30.296466827,15,173
34,33152,19.953668594,14,40,5056,27.455696106,17,62,9856,25.688312531,14,65,16384,32.019531250,13,164,41664,30.450077057,14,188
35,33152,20.133205414,12,44,5056,27.632911682,18,65,9856,25.876623154,16,61,16384,31.851562500,14,150,41664,30.450077057,15,185
36,33152,19.926641464,13,41,5056,26.848100662,17,58,9856,25.870130539,15,60,16384,32.132812500,14,163,41664,30.373271942,15,177
37,33152,19.974903107,13,41,5056,27.253164291,17,59,9856,25.642856598,14,66,16384,31.839843750,14,149,41664,30.387096405,16,181
38,33152,19.988416672,13,39,5056,27.645568848,18,57,9856,25.519479752,16,60,16384,31.800781250,14,155,41664,30.436252594,15,178
39,33152,19.924711227,13,39,5056,27.215188980,18,55,9856,25.915584564,16,62,16384,32.136718750,15,157,41664,30.301074982,14,180
40,33152,19.874517441,14,32,5056,27.151899338,17,57,9856,25.636363983,16,61,16384,32.046875000,16,157,41664,30.471582413,15,182
41,33152,19.992277145,13,41,5056,27.202531815,17,52,9856,25.357143402,15,59,16384,31.812500000,15,169,41664,30.353302002,14,192
42,33152,19.762548447,13,41,5056,27.860759735,17,59,9856,25.214284897,16,57,16384,31.539062500,14,156,41664,30.405529022,15,179
43,33152,19.872587204,13,42,5056,26.784811020,16,55,9856,25.383117676,15,62,16384,32.050781250,16,154,41664,30.294931412,16,183
44,33152,19.814672470,13,42,5056,27.050632477,16,56,9856,25.603895187,15,61,16384,32.835937500,12,151,41664,30.423963547,15,181
45,33152,19.745174408,13,39,5056,26.810127258,18,53,9856,25.649351120,16,55,16384,32.363281250,15,152,41664,30.482334137,15,182
46,33152,19.857143402,14,39,5056,27.455696106,16,54,9856,25.655843735,15,55,16384,32.792968750,13,153,41664,30.285715103,15,182
47,33152,19.803089142,14,35,5056,27.278480530,16,57,9856,25.149351120,15,63,16384,32.871093750,16,163,41664,30.264209747,15,178
48,33152,19.986486435,13,40,5056,27.392404556,17,57,9856,25.500000000,16,61,16384,32.507812500,13,158,41664,30.448541641,14,187
49,33152,19.816602707,13,35,5056,27.329113007,16,60,9856,25.623376846,15,58,16384,32.550781250,15,145,41664,30.273426056,16,174
50,33152,19.965250015,13,35,5056,27.379747391,17,51,9856,25.493507385,17,59,16384,32.617187500,13,161,41664,30.308755875,16,179
51,33152,19.756755829,13,38,5056,27.050632477,17,57,9856,25.688312531,15,64,16384,32.324218750,15,156,41664,30.270353317,13,183
52,33152,19.862934113,13,39,5056,27.518987656,17,62,9856,25.642856598,15,57,16384,32.441406250,16,161,41664,30.159753799,15,178
53,33152,19.918918610,13,37,5056,27.139240265,16,57,9856,25.428571701,14,63,16384,32.375000000,14,162,41664,30.115207672,15,184
54,33152,19.822393417,13,33,5056,27.164556503,15,55,9856,25.441558838,16,63,16384,31.960937500,13,153,41664,30.336404800,14,179
55,33152,19.845560074,13,40,5056,27.341772079,17,53,9856,25.662338257,16,63,16384,32.089843750,16,159,41664,30.278034210,13,183
56,33152,19.822393417,13,42,5056,26.835443497,16,58,9856,25.474025726,16,59,16384,32.289062500,14,158,41664,30.324117661,15,181
57,33152,19.837837219,13,35,5056,27.037975311,17,59,9856,25.779220581,16,54,16384,32.394531250,15,166,41664,30.245775223,15,181
58,33152,19.866794586,13,34,5056,27.392404556,16,55,9856,25.610389709,16,63,16384,32.101562500,11,146,41664,30.354839325,15,187
59,33152,19.830116272,14,38,5056,27.265823364,16,60,9856,25.837661743,16,60,16384,32.226562500,16,158,41664,30.118280411,15,177
60,33152,19.918918610,14,43,5056,26.860759735,17,56,9856,25.753246307,17,63,16384,31.828125000,15,153,41664,30.278034210,14,187
61,33152,19.891891479,13,42,5056,27.316455841,16,54,9856,25.292207718,15,59,16384,32.000000000,14,161,41664,30.301074982,15,177
62,33152,19.698841095,12,40,5056,26.962024689,15,51,9856,25.772727966,16,59,16384,31.992187500,14,158,41664,30.433179855,15,181
63,33152,19.915058136,14,41,5056,27.202531815,16,53,9856,25.688312531,16,60,16384,32.148437500,15,158,41664,30.254991531,15,184
64,33152,19.940155029,13,38,5056,27.000000000,17,53,9856,25.506492615,16,57,16384,32.136718750,15,149,41664,30.305683136,16,182
65,33152,19.779922485,13,39,5056,27.139240265,17,58,9856,25.448051453,15,58,16384,31.898437500,15,149,41664,30.321044922,14,178
66,33152,19.776062012,14,34,5056,27.936708450,17,56,9856,25.428571701,16,56,16384,31.882812500,14,156,41664,30.382488251,15,181
67,33152,19.886100769,14,35,5056,27.189872742,18,60,9856,25.564935684,16,56,16384,32.527343750,15,150,41664,30.291858673,15,176
68,33152,19.861003876,14,45,5056,27.354431152,17,47,9856,25.428571701,15,57,16384,32.980468750,13,146,41664,30.348693848,15,174
