 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
1,1370,54.372,-20,309,32688,58.21,-53,532,9856,68.644,-44,562,9856,0.68644,-44,562
2,1370,55.801,-39,373,32688,58.048,-61,469,9856,68.564,-47,436,9856,0.68564,-47,436
3,1370,54.136,-28,263,32688,58.053,-47,628,9856,68.693,-46,480,9856,0.68693,-46,480
4,1370,55.834,-44,373,32688,57.644,-49,523,9856,69.063,-63,468,9856,0.69063,-63,468
5,1370,57.064,-27,325,32688,58.431,-41,575,9856,69.657,-39,532,9856,0.69657,-39,532
6,1370,54.591,-34,363,32688,58.321,-55,539,9856,68.989,-42,502,9856,0.68989,-42,502
7,1370,52.096,-14,418,32688,57.764,-57,630,9856,69.366,-47,491,9856,0.69366,-47,491
8,1370,54.58,-26,450,32688,58.268,-43,497,9856,69.693,-59,504,9856,0.69693,-59,504
9,1370,56.779,-27,302,32688,57.713,-47,518,9856,69.033,-37,453,9856,0.69033,-37,453
10,1370,55.477,-29,301,32688,58.049,-55,524,9856,69.746,-51,451,9856,0.69746,-51,451
11,1370,56.933,-27,382,32688,57.599,-56,519,9856,68.337,-64,546,9856,0.68337,-64,546
12,1370,53.84,-15,322,32688,58.164,-49,647,9856,69.803,-55,504,9856,0.69803,-55,504
13,1370,54.61,-32,364,32688,58.093,-58,560,9856,69.582,-42,515,9856,0.69582,-42,515
14,1370,55.072,-26,310,32688,58.092,-50,693,9856,68.312,-40,514,9856,0.68312,-40,514
15,1370,53.264,-32,298,32688,57.627,-47,532,9856,69.114,-55,540,9856,0.69114,-55,540
16,1370,55.72,-28,343,32688,57.748,-58,548,9856,69.258,-43,479,9856,0.69258,-43,479
17,1370,54.944,-25,293,32688,57.862,-55,666,9856,68.429,-52,457,9856,0.68429,-52,457
18,1370,54.552,-20,381,32688,57.481,-45,595,9856,68.144,-78,484,9856,0.68144,-78,484
19,1370,55.58,-20,397,32688,58.649,-35,601,9856,68.276,-54,533,9856,0.68276,-54,533
20,1370,56.415,-19,358,32688,57.878,-38,526,9856,68.019,-39,503,9856,0.68019,-39,503
21,1370,55.942,-23,383,32688,58.187,-39,556,9856,69.006,-37,537,9856,0.69006,-37,537
22,1370,56.266,-31,483,32688,58.215,-39,576,9856,67.859,-37,688,9856,0.67859,-37,688
23,1370,54.42,-26,555,32688,57.445,-57,691,9856,68.728,-25,488,9856,0.68728,-25,488
24,1370,55.891,-18,412,32688,57.871,-31,737,9856,68.388,-30,616,9856,0.68388,-30,616
25,1370,53.426,-16,445,32688,58.297,-37,609,9856,68.573,-29,585,9856,0.68573,-29,585
26,1370,56.591,-17,504,32688,57.774,-27,628,9856,69.54,-31,539,9856,0.6954,-31,539
27,1370,54.59,-11,337,32688,58.504,-23,693,9856,69.123,-31,473,9856,0.69123,-31,473
28,1370,54.027,-7,326,32688,57.802,-15,723,9856,69.443,-31,615,9856,0.69443,-31,615
29,1370,55.801,-16,360,32688,58.19,-11,500,9856,69.551,-15,565,9856,0.69551,-15,565
30,1370,54.007,-7,398,32688,58.375,-10,873,9856,68.012,-19,638,9856,0.68012,-19,638
31,1370,55.554,-2,421,32688,58.4,-6,507,9856,68.461,-6,554,9856,0.68461,-6,554
32,1370,53.72,-1,407,32688,58.579,-3,580,9856,68.826,-4,629,9856,0.68826,-4,629
33,1370,55.237,0,387,32688,58.787,-4,550,9856,71.065,-2,573,9856,0.71065,-2,573
34,1370,54.772,0,445,32688,58.131,-1,604,9856,69.293,-1,587,9856,0.69293,-1,587
35,1370,53.396,0,417,32688,58.477,-1,586,9856,68.856,0,605,9856,0.68856,0,605
36,1370,55.069,0,360,32688,57.877,-2,761,9856,68.653,0,640,9856,0.68653,0,640
37,1370,54.948,0,407,32688,57.385,-1,617,9856,69.589,-1,473,9856,0.69589,-1,473
38,1370,54.534,0,355,32688,58.064,0,889,9856,68.119,0,761,9856,0.68119,0,761
39,1370,53.923,0,373,32688,57.772,-1,655,9856,69.076,0,605,9856,0.69076,0,605
40,1370,58.412,0,441,32688,58.142,-1,760,9856,68.8,0,563,9856,0.688,0,563
41,1370,57.339,0,391,32688,57.903,0,770,9856,67.859,0,552,9856,0.67859,0,552
42,1370,55.058,0,513,32688,58.01,-1,600,9856,69.681,0,575,9856,0.69681,0,575
43,1370,51.593,0,355,32688,57.976,-1,754,9856,69.213,0,582,9856,0.69213,0,582
44,1370,54.638,0,399,32688,57.579,-1,614,9856,69.235,0,594,9856,0.69235,0,594
45,1370,55.086,0,481,32688,58.518,-1,555,9856,68.334,0,794,9856,0.68334,0,794
46,1370,56.772,0,427,32688,58.291,-1,661,9856,68.895,0,526,9856,0.68895,0,526
47,1370,54.172,0,415,32688,57.976,-1,693,9856,68.176,0,578,9856,0.68176,0,578
48,1370,54.636,0,527,32688,57.929,-1,576,9856,67.164,-1,640,9856,0.67164,-1,640
49,1370,54.55,0,541,32688,57.676,-1,599,9856,68.857,-1,578,9856,0.68857,-1,578
50,1370,53.55,-1,306,32688,58.347,-3,630,9856,68.288,-2,613,9856,0.68288,-2,613
51,1370,56.701,-4,428,32688,57.928,-5,688,9856,68.27,-3,518,9856,0.6827,-3,518
52,1370,55.112,0,435,32688,58.016,-3,740,9856,68.614,-1,535,9856,0.68614,-1,535
53,1370,54.443,-2,418,32688,58.085,-3,486,9856,68.537,-2,560,9856,0.68537,-2,560
54,1370,54.255,-4,443,32688,57.644,-3,549,9856,68.874,-2,490,9856,0.68874,-2,490
55,1370,54.155,0,428,32688,57.588,-2,672,9856,68.357,-5,551,9856,0.68357,-5,551
56,1370,54.466,1,557,32688,58.141,-3,782,9856,69.09,-3,601,9856,0.6909,-3,601
57,1370,54.298,0,372,32688,57.84,-3,762,9856,69.074,-6,726,9856,0.69074,-6,726
58,1370,54.558,-2,334,32688,57.481,-2,681,9856,67.95,-7,594,9856,0.6795,-7,594
59,1370,53.572,-1,479,32688,58.366,-3,654,9856,68.371,-3,619,9856,0.68371,-3,619
60,1370,55.682,-1,426,32688,57.27,-2,628,9856,67.66,-6,597,9856,0.6766,-6,597
