 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,32,131.688,90,211,225,147.644,57,365,208,131.298,66,355
2,32,124.031,82,179,225,148.093,61,366,208,131.005,62,360
3,32,126.500,89,177,225,147.609,58,391,208,130.572,63,323
4,32,127.781,91,191,225,146.836,58,366,208,129.038,63,305
5,32,128.469,87,200,225,148.276,62,384,208,127.274,62,309
6,32,124.781,78,190,225,148.258,62,357,208,127.769,67,309
7,32,128.344,86,171,225,146.924,48,371,208,128.673,62,270
8,32,127.688,75,196,225,145.933,55,371,208,128.159,56,296
9,32,125.312,82,170,225,145.204,51,352,208,127.255,56,283
10,32,128.469,90,169,225,147.049,55,364,208,126.548,66,292
11,32,124.719,87,177,225,146.702,59,372,208,126.490,67,265
12,32,123.062,75,175,225,145.196,52,363,208,126.466,52,262
13,32,127.000,77,178,225,144.787,66,375,208,126.587,63,272
14,32,123.719,76,190,225,145.387,52,357,208,126.288,65,257
15,32,122.656,83,176,225,144.889,61,381,208,125.462,61,257
16,32,127.156,80,174,225,145.200,54,371,208,126.990,62,243
17,32,125.406,86,177,225,144.840,49,372,208,125.875,64,273
18,32,123.156,91,178,225,145.151,56,360,208,126.264,56,261
19,32,125.031,84,173,225,146.138,56,363,208,127.495,67,264
20,32,124.406,74,178,225,145.480,59,363,208,125.572,63,257
21,32,125.062,83,179,225,144.089,64,342,208,124.851,57,249
22,32,124.750,84,186,225,144.222,56,350,208,124.423,62,248
23,32,122.312,85,159,225,144.067,53,350,208,125.832,64,256
24,32,123.781,88,185,225,144.796,55,353,208,125.909,66,241
25,32,122.844,71,175,225,146.013,53,395,208,123.788,59,258
26,32,121.531,81,170,225,143.560,55,406,208,124.875,63,250
27,32,125.969,80,188,225,143.827,60,393,208,125.471,59,244
28,32,121.562,78,161,225,144.036,53,366,208,123.942,65,255
29,32,121.156,81,171,225,143.773,57,380,208,124.702,63,238
30,32,122.500,76,167,225,142.009,52,380,208,122.899,70,237
31,32,120.594,69,158,225,144.120,58,370,208,123.572,54,247
32,32,121.656,78,171,225,143.867,54,354,208,125.361,62,260
33,32,121.000,82,172,225,143.898,49,368,208,124.981,62,244
34,32,119.438,80,171,225,143.956,57,372,208,123.832,59,259
35,32,124.781,87,171,225,144.093,57,364,208,124.452,63,227
36,32,123.344,77,174,225,142.991,51,366,208,124.803,66,253
37,32,121.094,79,172,225,142.124,59,341,208,124.231,61,229
38,32,121.656,79,168,225,143.244,59,357,208,122.524,55,240
